"","orig","des_old","des_new"
"Q486L9","Glutathione synthetase ","Glutathione synthetase ","Glutathione synthetase "
"Q486M0","UPF0301 protein CPS_1252 ","UPF0301 protein CPS_1252 ","UPF0301 protein CPS_1252 "
"Q486M1","Putative pre-16S rRNA nuclease ","Putative pre-16S rRNA nuclease ","Putative pre-16S rRNA nuclease "
"Q486M2","Uncharacterized protein ","Uncharacterized protein ","Membrane fusion protein biotin-lipoyl like domain-containing protein "
"Q486M3","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein "
"Q486M4","Transport permease protein ","Transport permease protein ","Transport permease protein "
"Q486M6","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q486M9","FMN reductase, NADPH-dependent ","FMN reductase, NADPH-dependent ","FMN reductase, NADPH-dependent "
"Q486N2","Diaminopimelate decarboxylase ","Diaminopimelate decarboxylase ","Diaminopimelate decarboxylase "
"Q486N3","DsbA-like thioredoxin domain protein ","DsbA-like thioredoxin domain protein ","DsbA-like thioredoxin domain protein "
"Q486N4","Uncharacterized protein ","Uncharacterized protein ","Rhodanese domain-containing protein "
"Q486N7","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein "
"Q486N8","Efflux transporter, RND family, MFP subunit, AcrA/E family ","Efflux transporter, RND family, MFP subunit, AcrA/E family ","Efflux transporter, RND family, MFP subunit, AcrA/E family "
"Q486N9","Uncharacterized protein ","Uncharacterized protein ","DUF481 domain-containing protein "
"Q486P0","Isocitrate lyase ","Isocitrate lyase ","Isocitrate lyase "
"Q486P1","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family "
"Q486P3","LrgB-like family protein ","LrgB-like family protein ","LrgB-like family protein "
"Q486P4","Malate synthase G ","Malate synthase G ","Malate synthase G "
"Q486P9","Penicillin amidase family protein ","Penicillin amidase family protein ","Acyl-homoserine lactone acylase QuiP "
"Q486Q1","Chorismate mutase/prephenate dehydratase ","Chorismate mutase/prephenate dehydratase ","Bifunctional chorismate mutase/prephenate dehydratase "
"Q486Q3","Putative type IV pilus biogenesis protein ","Putative type IV pilus biogenesis protein ","Type II secretion system protein H "
"Q486Q4","Uncharacterized protein ","Uncharacterized protein ","Lipoprotein "
"Q486Q6","Uncharacterized protein ","Uncharacterized protein ","PilY1 beta-propeller domain-containing protein "
"Q486Q7","Uncharacterized protein ","Uncharacterized protein ","Type 4 fimbrial biogenesis protein PilX N-terminal domain-containing protein "
"Q486Q8","Uncharacterized protein ","Uncharacterized protein ","Prepilin-type N-terminal cleavage/methylation domain-containing protein "
"Q486Q9","Type IV pilus modification protein PilV ","Type IV pilus modification protein PilV ","Type IV pilus modification protein PilV "
"Q486R1","4-hydroxy-3-methylbut-2-enyl diphosphate reductase ","4-hydroxy-3-methylbut-2-enyl diphosphate reductase ","4-hydroxy-3-methylbut-2-enyl diphosphate reductase "
"Q486R2","Putative phosphate ABC transporter, periplasmic phosphate-binding protein ","Putative phosphate ABC transporter, periplasmic phosphate-binding protein ","Phosphate-binding protein "
"Q486R3","Phosphate regulon sensor protein PhoR ","Phosphate regulon sensor protein PhoR ","histidine kinase "
"Q486R4","Phosphate regulon response regulator PhoB ","Phosphate regulon response regulator PhoB ","Phosphate regulon transcriptional regulatory protein PhoB "
"Q486R6","Putative outer membrane porin ","Putative outer membrane porin ","Putative outer membrane porin "
"Q486R7","Sensor histidine kinase ","Sensor histidine kinase ","histidine kinase "
"Q486R8","Recombination-associated protein RdgC ","Recombination-associated protein RdgC ","Recombination-associated protein RdgC "
"Q486R9","Uncharacterized protein ","Uncharacterized protein ","HDOD domain-containing protein "
"Q486S0","Peptidase, U32 family ","Peptidase, U32 family ","Peptidase, U32 family "
"Q486S2","Cys regulon transcription activator ","Cys regulon transcription activator ","Cys regulon transcription activator "
"Q486S3","Uncharacterized protein ","Uncharacterized protein ","DNA repair protein "
"Q486S5","DNA topoisomerase 1 ","DNA topoisomerase 1 ","DNA topoisomerase 1 "
"Q486S6","Arginase family protein ","Arginase family protein ","Arginase family protein "
"Q486S7","Intimin/invasin family protein ","Intimin/invasin family protein ","Intimin/invasin family protein "
"Q486S9","SohB protein, peptidase U7 family ","SohB protein, peptidase U7 family ","SohB protein, peptidase U7 family "
"Q486T0","Uncharacterized protein ","Uncharacterized protein ","Bacterial virulence factor lipase N-terminal domain-containing protein "
"Q486T1","Oxidoreductase, short-chain dehydrogenase/reductase family ","Oxidoreductase, short-chain dehydrogenase/reductase family ","Oxidoreductase, short-chain dehydrogenase/reductase family "
"Q486T3","Long-chain-fatty-acid--CoA ligase ","Long-chain-fatty-acid--CoA ligase ","Long-chain-fatty-acid--CoA ligase "
"Q486T5","Putative lipase ","Putative lipase ","Putative lipase "
"Q486T7","Putative glycoprotease family protein ","Putative glycoprotease family protein ","tRNA threonylcarbamoyladenosine biosynthesis protein TsaB "
"Q486T8","Peptidyl-prolyl cis-trans isomerase ","Peptidyl-prolyl cis-trans isomerase ","Peptidyl-prolyl cis-trans isomerase "
"Q486U0","Isoleucine--tRNA ligase ","Isoleucine--tRNA ligase ","Isoleucine--tRNA ligase "
"Q486U1","Riboflavin biosynthesis protein ","Riboflavin biosynthesis protein ","Riboflavin biosynthesis protein "
"Q486U3","30S ribosomal protein S20 ","30S ribosomal protein S20 ","Small ribosomal subunit protein bS20 "
"Q486U4","Uncharacterized protein ","Uncharacterized protein ","Zn-dependent hydrolase "
"Q486U5","Acyl-CoA dehydrogenase family protein ","Acyl-CoA dehydrogenase family protein ","Acyl-CoA dehydrogenase family protein "
"Q486U6","Uncharacterized protein ","Uncharacterized protein ","DUF3010 domain-containing protein "
"Q486U7","Oxidoreductase, short-chain dehydrogenase/reductase family ","Oxidoreductase, short-chain dehydrogenase/reductase family ","Oxidoreductase, short-chain dehydrogenase/reductase family "
"Q486U9","Mandelate racemase/muconate lactonizing enzyme family protein ","Mandelate racemase/muconate lactonizing enzyme family protein ","Mandelate racemase/muconate lactonizing enzyme family protein "
"Q486V0","Class II aldolase/adducin domain protein ","Class II aldolase/adducin domain protein ","Class II aldolase/adducin domain protein "
"Q486V1","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q486V2","Metalloendopeptidase PepO ","Metalloendopeptidase PepO ","Metalloendopeptidase PepO "
"Q486V4","Bacterioferritin ","Bacterioferritin ","Bacterioferritin "
"Q486V5","Bacterioferritin ","Bacterioferritin ","Bacterioferritin "
"Q486V8","Corrinoid adenosyltransferase ","Corrinoid adenosyltransferase ","Corrinoid adenosyltransferase "
"Q486V9","Putative vitamin B12 transport protein BtuF ","Putative vitamin B12 transport protein BtuF ","Putative vitamin B12 transport protein BtuF "
"Q486W0","TonB-dependent vitamin B12 receptor ","TonB-dependent vitamin B12 receptor ","TonB-dependent vitamin B12 receptor "
"Q486W1","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q486W2","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q486W5","MutT/NUDIX family protein ","MutT/NUDIX family protein ","MutT/NUDIX family protein "
"Q486W7","Uncharacterized protein ","Uncharacterized protein ","Peptidase U32 "
"Q486X1","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase ","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase ","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase "
"Q486X4","Corrinoid adenosyltransferase ","Corrinoid adenosyltransferase ","Corrinoid adenosyltransferase "
"Q486X5","Cobyrinic acid a,c-diamide synthase ","Cobyrinic acid a,c-diamide synthase ","Cobyrinic acid a,c-diamide synthase "
"Q486X6","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q486Y0","CobC protein ","CobC protein ","threonine-phosphate decarboxylase "
"Q486Y5","Ferredoxin, 2Fe-2S ","Ferredoxin, 2Fe-2S ","2Fe-2S ferredoxin "
"Q486Y6","Chaperone protein HscA homolog ","Chaperone protein HscA homolog ","Chaperone protein HscA homolog "
"Q486Y7","Co-chaperone protein HscB homolog ","Co-chaperone protein HscB homolog ","Co-chaperone protein HscB homolog "
"Q486Y8","Iron-binding protein IscA ","Iron-binding protein IscA ","Iron-binding protein IscA "
"Q486Y9","Iron-sulfur cluster assembly scaffold protein IscU ","Iron-sulfur cluster assembly scaffold protein IscU ","Iron-sulfur cluster assembly scaffold protein IscU "
"Q486Z0","Cysteine desulfurase IscS ","Cysteine desulfurase IscS ","Cysteine desulfurase IscS "
"Q486Z1","HTH-type transcriptional regulator IscR ","HTH-type transcriptional regulator IscR ","Rrf2 family protein "
"Q486Z2","Serine O-acetyltransferase ","Serine O-acetyltransferase ","serine O-acetyltransferase "
"Q486Z3","tRNA (cytidine/uridine-2_-O-)-methyltransferase TrmJ ","tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ ","tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ "
"Q486Z4","Inositol-1-monophosphatase ","Inositol-1-monophosphatase ","Inositol-1-monophosphatase "
"Q486Z6","Uroporphyrin-III C-methyltransferase ","Uroporphyrin-III C-methyltransferase ","uroporphyrinogen-III C-methyltransferase "
"Q486Z7","ATP-dependent RNA helicase, DEAD box family ","ATP-dependent RNA helicase, DEAD box family ","RNA helicase "
"Q486Z9","Protein-export membrane protein SecF ","Protein-export membrane protein SecF ","Protein-export membrane protein SecF "
"Q487A0","Protein translocase subunit SecD ","Protein translocase subunit SecD ","Protein translocase subunit SecD "
"Q487A1","Preprotein translocase, YajC subunit ","Preprotein translocase, YajC subunit ","Sec translocon accessory complex subunit YajC "
"Q487A2","Queuine tRNA-ribosyltransferase ","Queuine tRNA-ribosyltransferase ","Queuine tRNA-ribosyltransferase "
"Q487A3","S-adenosylmethionine:tRNA ribosyltransferase-isomerase ","S-adenosylmethionine:tRNA ribosyltransferase-isomerase ","S-adenosylmethionine:tRNA ribosyltransferase-isomerase "
"Q487A4","Isocitrate dehydrogenase kinase/phosphatase ","Isocitrate dehydrogenase kinase/phosphatase ","Isocitrate dehydrogenase kinase/phosphatase "
"Q487A6","Uncharacterized protein ","Uncharacterized protein ","DNA polymerase III subunit psi "
"Q487A7","Ribosomal-protein-alanine acetyltransferase ","Ribosomal-protein-alanine acetyltransferase ","[Ribosomal protein bS18]-alanine N-acetyltransferase "
"Q487B0","Peptide chain release factor 3 ","Peptide chain release factor 3 ","Peptide chain release factor 3 "
"Q487B1","Arginine--tRNA ligase ","Arginine--tRNA ligase ","Arginine--tRNA ligase "
"Q487B3","Uncharacterized protein ","Uncharacterized protein ","Virulence factor, hemolysin regulator "
"Q487B4","Phosphoserine phosphatase ","Phosphoserine phosphatase ","Phosphoserine phosphatase "
"Q487B5","Uncharacterized protein ","Uncharacterized protein ","PilZ domain-containing protein "
"Q487B6","DNA repair protein RadA ","DNA repair protein RadA ","DNA repair protein RadA "
"Q487B7","Dipeptidyl peptidase IV ","Dipeptidyl peptidase IV ","Dipeptidyl peptidase IV "
"Q487B8","Ribosomal subunit interface protein ","Ribosomal subunit interface protein ","Ribosomal subunit interface protein "
"Q487C0","Methionine synthase ","Methionine synthase ","Methionine synthase "
"Q487C1","Homoserine O-succinyltransferase ","Homoserine O-succinyltransferase ","Homoserine O-succinyltransferase "
"Q487C2","Uncharacterized protein ","Uncharacterized protein ","MltA-interacting MipA family protein "
"Q487C3","UPF0234 protein CPS_1098 ","UPF0234 protein CPS_1098 ","UPF0234 protein CPS_1098 "
"Q487C6","2-dehydropantoate 2-reductase ","2-dehydropantoate 2-reductase ","2-dehydropantoate 2-reductase "
"Q487C7","tRNA sulfurtransferase ","tRNA sulfurtransferase ","tRNA sulfurtransferase "
"Q487C8","Sodium-driven polar flagellar protein ","Sodium-driven polar flagellar protein ","Sodium-driven polar flagellar protein "
"Q487C9","Sodium-driven polar flagellar protein ","Sodium-driven polar flagellar protein ","Sodium-driven polar flagellar protein "
"Q487D1","Exodeoxyribonuclease 7 small subunit ","Exodeoxyribonuclease 7 small subunit ","Exodeoxyribonuclease 7 small subunit "
"Q487D2","Geranyltranstransferase ","Geranyltranstransferase ","Geranyltranstransferase "
"Q487D3","1-deoxy-D-xylulose-5-phosphate synthase ","1-deoxy-D-xylulose-5-phosphate synthase ","1-deoxy-D-xylulose-5-phosphate synthase "
"Q487D5","FAD:protein FMN transferase ","FAD:protein FMN transferase ","FAD:protein FMN transferase "
"Q487D6","Na(+)-translocating NADH-quinone reductase subunit F ","Na(+)-translocating NADH-quinone reductase subunit F ","Na(+)-translocating NADH-quinone reductase subunit F "
"Q487D8","Na(+)-translocating NADH-quinone reductase subunit D ","Na(+)-translocating NADH-quinone reductase subunit D ","Na(+)-translocating NADH-quinone reductase subunit D "
"Q487D9","Na(+)-translocating NADH-quinone reductase subunit C ","Na(+)-translocating NADH-quinone reductase subunit C ","Na(+)-translocating NADH-quinone reductase subunit C "
"Q487E0","Na(+)-translocating NADH-quinone reductase subunit B ","Na(+)-translocating NADH-quinone reductase subunit B ","Na(+)-translocating NADH-quinone reductase subunit B "
"Q487E1","Na(+)-translocating NADH-quinone reductase subunit A ","Na(+)-translocating NADH-quinone reductase subunit A ","Na(+)-translocating NADH-quinone reductase subunit A "
"Q487E2","RNA polymerase sigma factor RpoS ","RNA polymerase sigma factor RpoS ","RNA polymerase sigma factor RpoS "
"Q487E3","Putative lipoprotein NlpD ","Putative lipoprotein NlpD ","Putative lipoprotein NlpD "
"Q487E5","Protein-L-isoaspartate O-methyltransferase ","Protein-L-isoaspartate O-methyltransferase ","Protein-L-isoaspartate O-methyltransferase "
"Q487E6","5_-nucleotidase SurE ","5'-nucleotidase SurE ","5'-nucleotidase SurE "
"Q487E7","tRNA pseudouridine synthase D ","tRNA pseudouridine synthase D ","tRNA pseudouridine synthase D "
"Q487E8","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase ","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase ","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase "
"Q487E9","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase ","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase ","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase "
"Q487F3","Putative 3-oxoacyl-(Acyl-carrier-protein) synthase III ","Putative 3-oxoacyl-(Acyl-carrier-protein) synthase III ","Putative 3-oxoacyl-(Acyl-carrier-protein) synthase III "
"Q487F5","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein "
"Q487G0","tRNA(Met) cytidine acetyltransferase TmcA ","tRNA(Met) cytidine acetyltransferase TmcA ","tRNA(Met) cytidine acetyltransferase TmcA "
"Q487G1","NapE protein ","NapE protein ","NapE protein "
"Q487G2","Ferredoxin-type protein NapF ","Ferredoxin-type protein NapF ","Ferredoxin-type protein NapF "
"Q487G3","Chaperone NapD ","Chaperone NapD ","Chaperone NapD "
"Q487G4","Periplasmic nitrate reductase ","Periplasmic nitrate reductase ","Periplasmic nitrate reductase "
"Q487G5","Periplasmic nitrate reductase, electron transfer subunit ","Periplasmic nitrate reductase, electron transfer subunit ","Periplasmic nitrate reductase, electron transfer subunit "
"Q487G6","Cytochrome c-type protein ","Cytochrome c-type protein ","Cytochrome c-type protein "
"Q487G7","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q487G8","Pyridoxine/pyridoxamine 5_-phosphate oxidase ","Pyridoxine/pyridoxamine 5'-phosphate oxidase ","Pyridoxine/pyridoxamine 5'-phosphate oxidase "
"Q487G9","Peptidase, M48 family ","Peptidase, M48 family ","Peptidase, M48 family "
"Q487H1","Oxaloacetate decarboxylase beta chain ","Oxaloacetate decarboxylase beta chain ","Oxaloacetate decarboxylase beta chain "
"Q487H2","Oxaloacetate decarboxylase, alpha subunit ","Oxaloacetate decarboxylase, alpha subunit ","Oxaloacetate decarboxylase, alpha subunit "
"Q487H3","Probable oxaloacetate decarboxylase gamma chain ","Probable oxaloacetate decarboxylase gamma chain ","Probable oxaloacetate decarboxylase gamma chain "
"Q487H4","Translational regulator CsrA ","Translational regulator CsrA ","Translational regulator CsrA "
"Q487H5","Alanine--tRNA ligase ","Alanine--tRNA ligase ","Alanine--tRNA ligase "
"Q487H7","Ferrochelatase ","Ferrochelatase ","Ferrochelatase "
"Q487H8","Putative cytochromre c biogenesis protein ","Putative cytochromre c biogenesis protein ","Putative cytochromre c biogenesis protein "
"Q487H9","Cytochrome c-type biogenesis protein ","Cytochrome c-type biogenesis protein ","Cytochrome c-type biogenesis protein "
"Q487I0","Thiol:disulfide interchange protein DsbE ","Thiol:disulfide interchange protein DsbE ","Thiol:disulfide interchange protein DsbE "
"Q487I1","Cytochrome c-type biogenesis protein CcmF ","Cytochrome c-type biogenesis protein CcmF ","Cytochrome c-type biogenesis protein CcmF "
"Q487I2","Cytochrome c biogenesis ATP-binding export protein CcmA ","Cytochrome c biogenesis ATP-binding export protein CcmA ","Cytochrome c biogenesis ATP-binding export protein CcmA "
"Q487I6","Cytochrome c-type biogenesis protein CcmE ","Cytochrome c-type biogenesis protein CcmE ","Cytochrome c-type biogenesis protein CcmE "
"Q487I8","Glucose/galactose transporter family protein ","Glucose/galactose transporter family protein ","Glucose/galactose transporter family protein "
"Q487I9","N-acetylgalactosamine-6-phosphate deacetylase ","N-acetylgalactosamine-6-phosphate deacetylase ","N-acetylgalactosamine-6-phosphate deacetylase "
"Q487J1","Beta-hexosaminidase ","Beta-hexosaminidase ","beta-N-acetylhexosaminidase "
"Q487J2","Uncharacterized protein ","Uncharacterized protein ","SapC family protein "
"Q487J3","Putative tryptophan halogenase ","Putative tryptophan halogenase ","Putative tryptophan halogenase "
"Q487J4","Putative tryptophan halogenase ","Putative tryptophan halogenase ","Putative tryptophan halogenase "
"Q487J5","TonB-dependent receptor ","TonB-dependent receptor ","TonB-dependent receptor "
"Q487J6","Glucose-6-phosphate isomerase 1 ","Glucose-6-phosphate isomerase 1 ","Glucose-6-phosphate isomerase 1 "
"Q487J7","Transcriptional regulator, LacI family ","Transcriptional regulator, LacI family ","Transcriptional regulator, LacI family "
"Q487J9","Regulator of ribonuclease activity B ","Regulator of ribonuclease activity B ","Regulator of ribonuclease activity B "
"Q487K0","1-acyl-sn-glycerol-3-phosphate acyltransferase ","1-acyl-sn-glycerol-3-phosphate acyltransferase ","1-acyl-sn-glycerol-3-phosphate acyltransferase "
"Q487K1","DNA-binding response regulator ","DNA-binding response regulator ","DNA-binding response regulator "
"Q487K6","Uncharacterized protein ","Uncharacterized protein ","YcxB-like C-terminal domain-containing protein "
"Q487K7","Uncharacterized protein ","Uncharacterized protein ","HDOD domain-containing protein "
"Q487K8","Glucosamine-6-phosphate deaminase ","Glucosamine-6-phosphate deaminase ","Glucosamine-6-phosphate deaminase "
"Q487K9","Putative decarboxylase ","Putative decarboxylase ","Putative decarboxylase "
"Q487L0","Uncharacterized protein ","Uncharacterized protein ","tRNA (guanine(46)-N(7))-methyltransferase "
"Q487L1","Transport permease protein ","Transport permease protein ","Transport permease protein "
"Q487L2","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein "
"Q487L5","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q487L6","Uncharacterized protein ","Uncharacterized protein ","Magnesium transporter MgtE intracellular domain-containing protein "
"Q487L7","Serine/threonine protein kinase domain protein ","Serine/threonine protein kinase domain protein ","non-specific serine/threonine protein kinase "
"Q487L8","FHA domain protein ","FHA domain protein ","FHA domain protein "
"Q487L9","Acyltransferase family protein ","Acyltransferase family protein ","Acyltransferase family protein "
"Q487M0","Alpha amylase family protein ","Alpha amylase family protein ","pullulanase "
"Q487M1","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family "
"Q487M2","Uncharacterized protein ","Uncharacterized protein ","Thioredoxin domain-containing protein "
"Q487M3","TonB-dependent receptor ","TonB-dependent receptor ","TonB-dependent receptor "
"Q487M4","Putative tryptophan halogenase ","Putative tryptophan halogenase ","Putative tryptophan halogenase "
"Q487M5","Oxidoreductase, zinc-binding ","Oxidoreductase, zinc-binding ","Oxidoreductase, zinc-binding "
"Q487M6","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family "
"Q487M8","Aldehyde dehydrogenase ","Aldehyde dehydrogenase ","Aldehyde dehydrogenase "
"Q487M9","Transcriptional regulator, TetR family ","Transcriptional regulator, TetR family ","Transcriptional regulator, TetR family "
"Q487N2","Alpha amylase family protein ","Alpha amylase family protein ","Alpha amylase family protein "
"Q487N6","Glycosyl hydrolase, family 65 ","Glycosyl hydrolase, family 65 ","Glycosyl hydrolase, family 65 "
"Q487N7","Putative beta-phosphoglucomutase ","Putative beta-phosphoglucomutase ","Putative beta-phosphoglucomutase "
"Q487N8","Transcription regulator, LacI family ","Transcription regulator, LacI family ","Transcription regulator, LacI family "
"Q487N9","TonB-dependent receptor ","TonB-dependent receptor ","TonB-dependent receptor "
"Q487P0","Glucokinase ","Glucokinase ","Glucokinase "
"Q487P1","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q487P2","Putative sugar-binding protein ","Putative sugar-binding protein ","Putative sugar-binding protein "
"Q487P3","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q487P4","Elongation factor P ","Elongation factor P ","Elongation factor P "
"Q487P6","Uncharacterized protein ","Uncharacterized protein ","Prephenate dehydrogenase "
"Q487P7","Mechanosensitive ion channel family protein ","Mechanosensitive ion channel family protein ","Mechanosensitive ion channel family protein "
"Q487P8","Uncharacterized protein ","Uncharacterized protein ","DUF3016 domain-containing protein "
"Q487P9","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q487Q1","OmpA family protein ","OmpA family protein ","OmpA family protein "
"Q487Q2","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q487Q4","RNA polymerase sigma factor ","RNA polymerase sigma factor ","RNA polymerase sigma factor "
"Q487Q5","Putative membrane protein ","Putative membrane protein ","Small-conductance mechanosensitive channel "
"Q487Q8","OmpA family protein ","OmpA family protein ","OmpA family protein "
"Q487Q9","60 kDa chaperonin ","60 kDa chaperonin ","Chaperonin GroEL "
"Q487R0","10 kDa chaperonin ","10 kDa chaperonin ","Co-chaperonin GroES "
"Q487R1","FxsA protein ","FxsA protein ","FxsA protein "
"Q487R3","Thiol:disulfide interchange protein DsbD ","Thiol:disulfide interchange protein DsbD ","Thiol:disulfide interchange protein DsbD "
"Q487R4","GGDEF/EAL domain protein ","GGDEF/EAL domain protein ","GGDEF/EAL domain protein "
"Q487R5","Uncharacterized protein ","Uncharacterized protein ","Phosphate-selective porin O and P "
"Q487R6","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q487R8","3-dehydroquinate dehydratase ","3-dehydroquinate dehydratase ","3-dehydroquinate dehydratase "
"Q487R9","Biotin carboxyl carrier protein of acetyl-CoA carboxylase ","Biotin carboxyl carrier protein of acetyl-CoA carboxylase ","Biotin carboxyl carrier protein of acetyl-CoA carboxylase "
"Q487S0","Biotin carboxylase ","Biotin carboxylase ","Biotin carboxylase "
"Q487S1","Uncharacterized protein ","Uncharacterized protein ","Oxidoreductase-like domain-containing protein "
"Q487S2","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q487S3","D-beta-hydroxybutyrate dehydrogenase ","D-beta-hydroxybutyrate dehydrogenase ","D-beta-hydroxybutyrate dehydrogenase "
"Q487S4","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q487S5","Putative lipase ","Putative lipase ","Putative lipase "
"Q487S7","Sensory box sensor histidine kinase/response regulator ","Sensory box sensor histidine kinase/response regulator ","histidine kinase "
"Q487S8","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q487S9","DNA-binding response regulator, LuxR family ","DNA-binding response regulator, LuxR family ","DNA-binding response regulator, LuxR family "
"Q487T0","TonB-dependent receptor ","TonB-dependent receptor ","TonB-dependent receptor "
"Q487T1","Putative polyhydroxyalkanoate depolymerase ","Putative polyhydroxyalkanoate depolymerase ","Putative polyhydroxyalkanoate depolymerase "
"Q487T2","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family "
"Q487T3","ThiJ/PfpI family protein ","ThiJ/PfpI family protein ","ThiJ/PfpI family protein "
"Q487T5","Oxidoreductase, zinc-binding ","Oxidoreductase, zinc-binding ","Oxidoreductase, zinc-binding "
"Q487T6","Single-stranded DNA-binding protein ","Single-stranded DNA-binding protein ","Single-stranded DNA-binding protein "
"Q487T7","Thioesterase family protein ","Thioesterase family protein ","Thioesterase family protein "
"Q487U0","CDP-diacylglycerol--serine O-phosphatidyltransferase ","CDP-diacylglycerol--serine O-phosphatidyltransferase ","CDP-diacylglycerol--serine O-phosphatidyltransferase "
"Q487U1","2,4-dienoyl-CoA reductase ","2,4-dienoyl-CoA reductase ","2,4-dienoyl-CoA reductase "
"Q487U2","Uncharacterized protein ","Uncharacterized protein ","Transcription elongation factor GreAB "
"Q487U3","Uncharacterized protein ","Uncharacterized protein ","Dodecin flavoprotein "
"Q487U4","Major facilitator family transporter ","Major facilitator family transporter ","Major facilitator family transporter "
"Q487U6","UvrABC system protein A ","UvrABC system protein A ","UvrABC system protein A "
"Q487U7","Uncharacterized protein ","Uncharacterized protein ","N-acetyltransferase domain-containing protein "
"Q487U9","Acid-CoA ligase family protein ","Acid-CoA ligase family protein ","Acid-CoA ligase family protein "
"Q487V0","Pseudouridine synthase ","Pseudouridine synthase ","Pseudouridine synthase "
"Q487V3","Sensory box sensor/GGDEF/EAL domain protein ","Sensory box sensor/GGDEF/EAL domain protein ","Sensory box sensor/GGDEF/EAL domain protein "
"Q487V4","Uncharacterized protein ","Uncharacterized protein ","Methylamine utilization protein "
"Q487V5","Imidazolonepropionase ","Imidazolonepropionase ","Imidazolonepropionase "
"Q487V6","Histidine utilization repressor ","Histidine utilization repressor ","Histidine utilization repressor "
"Q487V7","Urocanate hydratase ","Urocanate hydratase ","Urocanate hydratase "
"Q487V8","Histidine ammonia-lyase ","Histidine ammonia-lyase ","Histidine ammonia-lyase "
"Q487W2","Uncharacterized protein ","Uncharacterized protein ","NAD(P)-dependent oxidoreductase "
"Q487W3","Uncharacterized protein ","Uncharacterized protein ","SnoaL-like domain-containing protein "
"Q487W4","Acetyltransferase, GNAT family ","Acetyltransferase, GNAT family ","Acetyltransferase, GNAT family "
"Q487W7","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q487W8","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q487W9","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q487X6","Uncharacterized protein ","Uncharacterized protein ","HTH cro/C1-type domain-containing protein "
"Q487X9","Putative phage replication initiation factor ","Putative phage replication initiation factor ","Putative phage replication initiation factor "
"Q487Y0","Uncharacterized protein ","Uncharacterized protein ","DUF961 domain-containing protein "
"Q487Y2","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q487Y9","Uncharacterized protein ","Uncharacterized protein ","SIR2-like domain-containing protein "
"Q487Z1","Elongation factor G 1 ","Elongation factor G 1 ","Elongation factor G 1 "
"Q487Z2","30S ribosomal protein S10 ","30S ribosomal protein S10 ","Small ribosomal subunit protein uS10 "
"Q487Z3","50S ribosomal protein L3 ","50S ribosomal protein L3 ","Large ribosomal subunit protein uL3 "
"Q487Z4","50S ribosomal protein L4 ","50S ribosomal protein L4 ","Large ribosomal subunit protein uL4 "
"Q487Z5","50S ribosomal protein L23 ","50S ribosomal protein L23 ","Large ribosomal subunit protein uL23 "
